Rank,Site,Manufacturer,Computer,Country,Year,Total Cores,Rmax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Processor Speed (MHz),Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
350,Datacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5520 2.26 GHz, GigE",United States,2010,7488,35742.7,67691.5,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
351,CILEA,Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.8 Ghz, Infiniband QDR",Italy,2010,4032,35665.3,45158.4,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Research,Research,Infiniband,Infiniband,Southern Europe,Europe
352,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5560 2.8 GHz, GigE",United States,2010,5992,35636.7,67110.4,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
353,Financial Institution (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.83 GHz, GigEthernet",United States,2009,5904,35501.3,66833.3,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
354,Technische Universitaet Wien,Oracle,"Sun Blade x2270, Xeon X5550 2.66 Ghz, Infiniband QDR",Austria,2009,3650,35480,38836,0,0,178,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,Sun Blade System,Sun Blade X2270,Cell OS,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
355,Geoscience,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2010,4136,35421,44106,0,0,166.22,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
356,Geoscience,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2010,4136,35421,44106,0,0,166.22,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
357,Geoscience,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2010,4136,35421,44106,0,0,166.22,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
358,Classified,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United Kingdom,2010,4296,35359.2,38835.8,0,0,118.22,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
359,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2010,6120,35327,61934.4,0,0,193,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
360,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2009,7168,35317.8,66805.8,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
361,Statoil,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",Norway,2010,5664,35293.5,66382.1,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
362,ERDC MSRC,Cray Inc.,"Cray XT3, 2.6 GHz dual Core",United States,2006,8192,35200,42598.4,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,2,Cray XT,Cray XT3,UNICOS/SUSE Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
363,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United Kingdom,2009,5512,35187,66144,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
364,NASA/Goddard Space Flight Center,IBM,"iDataPlex, Xeon QC 2.5 GHz, Infiniband",United States,2009,4096,35078.1,40960,0,0,132.35,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
365,Classified,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United States,2010,4248,34964.1,38401.9,0,0,118.22,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,North America,Americas
366,Classified,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United States,2010,4248,34964.1,38401.9,0,0,118.22,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,North America,Americas
367,Financial Institution (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.83 GHz, GigEthernet",United States,2009,5808,34936.7,65746.6,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
368,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL480c, Xeon 5405 2Ghz, GigE",China,2009,8296,34936.6,66368,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL480c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
369,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,5580,34781.1,65397.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
370,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,5580,34781.1,65397.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
371,Louisiana Optical Network Initiative,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,5440,34780,50766.1,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1950,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
372,Wroclaw Centre for Networking and Supercomputing,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.66 Ghz, Infiniband",Poland,2010,3840,34729,40857.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Europe,Europe
373,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2009,5568,34707.8,65257,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
374,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 SL2x170z, Xeon X5550 2.66 GHz, GigE",United States,2010,6144,34693.8,65372.2,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL2x170z,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
375,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2010,6144,34693.8,65372.2,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
376,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2010,6144,34693.8,65372.2,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
377,Laboratory for Systems Biology and Medicine/RCAST. The University of Tokyo,Fujitsu,"PRIMERGY BX922 S2, Xeon X5650 2.66GHz, Infiniband QDR",Japan,2010,3552,34670,37793,1273608,0,113.41,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Fujitsu Cluster,Fujitsu Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
378,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Japan,2010,7216,34650,65434.7,0,0,316.6,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
379,Service Provider,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Japan,2010,7216,34650,65434.7,0,0,316.6,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
380,Retail,IBM,"BladeCenter HS21/HS22 Cluster, Xeon QC HT 2.26/2.33 GHz, GigEthernet",United States,2009,6984,34650,64040,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
381,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2009,6720,34650,60749,0,0,193.2,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
382,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2009,6720,34650,60749,0,0,193.2,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
383,National Astronomical Observatory of Japan,Self-made,"GRAPE-DR accelerator Cluster, Infiniband",Japan,2010,5184,34550,66360,442368,0,29.37,Others,Others GRAPE-DR processor,400,16,NOW - mixed processors,GRAPE-DR cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
384,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,5516,34390.4,64647.5,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
385,Semiconductor Company (Q),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,5376,34336.4,64512,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
386,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform SL170z, Xeon E5520 2.26 Ghz, Infiniband",Sweden,2010,4128,34280,37317.1,1450000,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
387,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2010,6648,34279,60098,0,0,185.02,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
388,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2010,6648,34279,60098,0,0,185.02,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
389,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2010,6648,34279,60098,0,0,185.02,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
390,Northwestern University,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband",United States,2010,4112,34274,37288,0,0,114.43,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
391,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE",United States,2010,6052,34186.1,64393.3,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
392,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2010,6624,34155,59881,0,0,184.34,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
393,Hosting Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2010,6912,34089.4,64419.8,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
394,Jilin University,Inspur,"Inspur TS10000 HPC Server, Xeon X56xx 2.66 Ghz, QDR Infiniband",China,2010,3800,34080,40094.1,966180,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Inspur Cluster,Inspur TS10000 HPC Server,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
395,Datacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5520 2.26 GHz, GigE",United States,2010,7104,33959.1,64220.2,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
396,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2010,6008,33943.2,63925.1,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
397,Logistics,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Germany,2010,5864,33848.9,59343.7,0,0,185.4,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
398,Logistics,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Germany,2010,5864,33848.9,59343.7,0,0,185.4,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
399,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",United States,2010,5970,33733.4,63520.8,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
400,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,5268,33660.2,63216,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
401,Financial Institution (P),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",France,2010,6528,33660,59195.9,0,0,187.68,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
402,Financial Institution (P),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",France,2010,6528,33660,59195.9,0,0,187.68,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
403,NCSA,Self-made,"Hybrid Cluster Core i3 2.93Ghz Dual Core, NVIDIA C205, Infiniband",United States,2010,2048,33620,68860,194560,0,35.84,Intel Core,Intel Core Core i3,2930,2,NOW - Intel,Hybrid Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
404,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2010,5388,33608.5,63147.4,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
405,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2009,3920,33570.8,41818.6,0,0,157,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Classified,Defense,Infiniband,Infiniband,North America,Americas
406,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,5216,33334.5,62592,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
407,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,6168,33124.1,62420.2,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
408,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United States,2009,6220,33000.8,62200,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
409,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE",United States,2010,5824,32926.5,61967.4,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
410,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,5704,32925.3,57724.5,0,0,180.83,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
411,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,5704,32925.3,57724.5,0,0,180.83,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
412,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,5704,32925.3,57724.5,0,0,180.83,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
413,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,5704,32925.3,57724.5,0,0,180.83,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
414,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 4000 BL465c G5, Opteron Six Core 2.6 GHz, GigEthernet",United States,2010,5952,32875.3,61900.8,0,0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
415,Max-Planck-Gesellschaft MPI/Albert-Einstein-Institut,Pyramid Computer,"Pyramid Cluster Xeon QC 32xx 2.4 GHz, GigEthernet",Germany,2008,5420,32800,52032,0,0,201,Intel EM64T,Intel EM64T Xeon 32xx (Kentsfield),2400,4,Pyramid Cluster,Pyramid Xeon Cluster,Linux,Cluster,Research,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
416,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",France,2010,5120,32732.8,61440,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Research,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
417,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,5784,32720.1,58534.1,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
418,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,5784,32720.1,58534.1,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
419,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,5784,32720.1,58534.1,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
420,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,5784,32720.1,58534.1,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
